visit_id,client_id,Variation,task_time_seconds,task_time_minutes
100019538_17884295066_43909,7338123,Test,242.0,4.033333333333333
10006594_66157970412_679648,3479519,Control,354.0,5.9
100173292_91322748906_143563,8631696,Test,95.0,1.5833333333333333
100217156_67053490690_383412,9341024,Test,1017.0,16.95
100254180_47139859079_984581,984526,Control,341.0,5.683333333333334
100258507_71262593004_214494,1562128,Test,1013.0,16.883333333333333
100293270_70949014562_696814,8976740,Test,209.0,3.4833333333333334
100309269_21684743336_936307,7224020,Control,240.0,4.0
100321067_78502191718_46799,2540907,Test,134.0,2.2333333333333334
100412222_23957663994_946900,543460,Test,466.0,7.766666666666667
100481857_71511233596_788753,6235268,Control,776.0,12.933333333333334
100559681_42553631610_873319,663873,Test,203.0,3.3833333333333333
10065836_96534697180_389104,6829143,Test,704.0,11.733333333333333
100733473_61604582110_215085,9956593,Control,335.0,5.583333333333333
100738555_11362326861_913293,5392133,Test,309.0,5.15
100742196_25888718318_18393,5730234,Control,144.0,2.4
100751264_35071231525_844320,2211630,Test,372.0,6.2
100768839_4432812320_405870,3467432,Control,447.0,7.45
100844233_60058998075_722846,2060326,Test,855.0,14.25
100911179_58982643631_833777,7922438,Control,295.0,4.916666666666667
100940549_99510656_854293,3272226,Test,158.0,2.6333333333333333
100982387_94833499276_254813,4337769,Control,180.0,3.0
101011654_3078115058_237331,7761531,Test,107.0,1.7833333333333334
101030486_64770311115_334089,4318876,Test,250.0,4.166666666666667
10111418_59591388284_939024,6762377,Test,546.0,9.1
101120116_70489660261_84827,4871055,Control,433.0,7.216666666666667
101127163_76213781950_64100,5102064,Control,262.0,4.366666666666666
101299207_34352941387_283858,5189898,Control,136.0,2.2666666666666666
101351075_24045289214_506540,7795550,Test,122.0,2.033333333333333
101353522_64535639660_69005,1187711,Test,392.0,6.533333333333333
101420660_70864320063_268486,4167905,Control,172.0,2.8666666666666667
10146625_55092448080_942181,7866354,Control,141.0,2.35
101494772_26515669036_129353,8670426,Test,231.0,3.85
10160247_7644306633_536261,7135656,Test,240.0,4.0
101648946_2986090802_45728,1497502,Test,807.0,13.45
101680890_99989873555_20306,1181373,Test,1147.0,19.116666666666667
101699555_81180756343_194382,1631043,Test,115.0,1.9166666666666667
101705911_92910589456_700339,4575080,Test,59.0,0.9833333333333333
101723155_55190658662_237894,1159819,Control,216.0,3.6
101730358_52940740127_700366,9921452,Test,75.0,1.25
101795269_11014215878_581088,2212960,Test,360.0,6.0
101802638_52752999485_99956,6251313,Test,184.0,3.066666666666667
101815309_16518757746_588210,6017862,Control,171.0,2.85
101834489_14041973684_933577,24572,Test,417.0,6.95
101846948_96925910026_299041,8739285,Test,692.0,11.533333333333333
101881214_40147450360_975629,7339781,Test,147.0,2.45
101888000_165543841_994097,1232986,Test,780.0,13.0
101943895_86775091670_183092,159268,Control,886.0,14.766666666666667
10195285_83113954302_914786,8252266,Control,393.0,6.55
102028949_77333531405_172916,3606469,Test,107.0,1.7833333333333334
102040676_43919492336_211555,1081771,Test,671.0,11.183333333333334
10208508_48498393982_276767,20185,Test,2459.0,40.983333333333334
102117430_8358683171_251810,5084415,Control,377.0,6.283333333333333
102135578_44389748355_529451,6980355,Test,374.0,6.233333333333333
102192856_36776313213_528609,9223714,Test,95.0,1.5833333333333333
102239627_21788120461_642410,9509478,Test,149.0,2.4833333333333334
102241937_44186923257_675771,2268205,Control,87.0,1.45
102260327_62370031760_695202,2319496,Test,165.0,2.75
102313083_89099432393_519923,9455842,Test,333.0,5.55
102335079_31127942488_988541,9519150,Test,832.0,13.866666666666667
102444768_32769766838_982610,5630016,Control,406.0,6.766666666666667
102484927_98294291724_438700,5388829,Test,218.0,3.6333333333333333
102499021_85930930609_946443,4630890,Test,233.0,3.8833333333333333
102536241_9330188050_272777,7714175,Test,255.0,4.25
102665060_37915112799_22973,8153325,Control,691.0,11.516666666666667
102700395_3650299328_241644,7854180,Control,259.0,4.316666666666666
10271778_60310580255_346120,9371642,Test,238.0,3.966666666666667
102726299_88890501425_250481,2963023,Test,101.0,1.6833333333333333
102829584_93976627605_480184,8397383,Test,369.0,6.15
102837653_94701008367_878441,1682129,Test,348.0,5.8
102975007_58653569101_864796,4449592,Test,943.0,15.716666666666667
10297728_36443899834_420540,4805014,Test,247.0,4.116666666666666
10302777_33961048646_359086,2132645,Test,413.0,6.883333333333334
103049564_53637551445_140548,3482195,Control,1060.0,17.666666666666668
103074110_36036427436_224168,4728164,Control,625.0,10.416666666666666
103103875_46336298052_373337,9110158,Test,107.0,1.7833333333333334
103130243_32100266511_903233,9541276,Test,138.0,2.3
103153313_89180810554_652969,5882141,Test,161.0,2.683333333333333
103206917_79424670085_548578,6572513,Control,109.0,1.8166666666666667
103231866_97001718341_176355,1877137,Test,106.0,1.7666666666666666
103250270_91305892356_725889,2320677,Test,403.0,6.716666666666667
103259230_91726805198_42860,1235280,Control,225.0,3.75
103262112_44272205554_17076,1121613,Control,175.0,2.9166666666666665
103280492_35048423642_295880,1459612,Test,91.0,1.5166666666666666
103314992_38940221828_86119,7338537,Test,124.0,2.066666666666667
103316124_77336417516_450479,9409347,Test,622.0,10.366666666666667
103334673_42929357722_227220,5549883,Test,170.0,2.8333333333333335
103342398_45398458430_825388,9545144,Test,390.0,6.5
103351895_72450757094_488818,7065902,Test,175.0,2.9166666666666665
103386244_38229139313_546758,9204785,Control,348.0,5.8
103390146_17791176841_983341,6064610,Control,549.0,9.15
103429522_91068110681_512926,1958941,Test,154.0,2.566666666666667
103452266_65589345292_334664,4428440,Control,323.0,5.383333333333334
103547153_48132333098_296164,9255891,Control,124.0,2.066666666666667
103601194_76355185230_460744,5503800,Control,158.0,2.6333333333333333
103672872_27263820810_450006,120309,Control,241.0,4.016666666666667
103689029_41882753010_215591,2363091,Test,45.0,0.75
103718181_78133780798_378891,2050360,Test,575.0,9.583333333333334
103797768_89024128068_105778,6166472,Test,582.0,9.7
103808018_38026064618_356916,1350186,Control,178.0,2.966666666666667
10381309_94441024337_943455,6048205,Test,203.0,3.3833333333333333
103828097_2964593896_769569,7781142,Control,549.0,9.15
103844930_39480104147_119972,1295824,Test,560.0,9.333333333333334
103925915_87560969444_561630,2594614,Test,287.0,4.783333333333333
103962335_25060963174_327284,7269600,Control,311.0,5.183333333333334
104032435_62114953894_417370,1646150,Test,981.0,16.35
104052567_51896422006_946275,5725519,Test,675.0,11.25
104083710_37806604745_590166,5708846,Test,119.0,1.9833333333333334
104083800_60349476282_456725,7544412,Control,122.0,2.033333333333333
104125938_19215127985_615367,4951184,Test,525.0,8.75
104222319_64628836240_918404,6428716,Control,229.0,3.816666666666667
104290818_41911217263_795489,1953774,Test,306.0,5.1
104384293_44856181492_698912,7531469,Test,114.0,1.9
104418267_51474889719_962654,2874925,Test,247.0,4.116666666666666
104503918_88678867372_299559,9444621,Test,142.0,2.3666666666666667
104611358_99312923751_651012,6599771,Control,959.0,15.983333333333333
10463399_86967089664_748023,45485,Test,1164.0,19.4
104671112_72226641226_692067,3682583,Test,252.0,4.2
104678659_36278223108_614428,5037795,Control,321.0,5.35
104683420_95145670621_124388,6751070,Test,1094.0,18.233333333333334
104710911_72306734784_450595,3091233,Test,221.0,3.683333333333333
104759010_79418548877_133125,5136874,Test,100.0,1.6666666666666667
104771695_29531939894_162247,6435592,Test,110.0,1.8333333333333333
104815984_48743056662_416310,8165914,Test,288.0,4.8
104853864_15340926053_27153,9193304,Test,446.0,7.433333333333334
10486918_82817683707_804371,7240019,Test,160.0,2.6666666666666665
104904175_28577721463_608061,2976498,Test,312.0,5.2
