,visit_id,completed_process,group
0,100012776_37918976071_457913,0,Test
1,100019538_17884295066_43909,1,Test
2,100173292_91322748906_143563,1,Test
3,100217156_67053490690_383412,1,Test
4,100221419_95702886123_228743,0,Test
5,100258507_71262593004_214494,1,Test
6,100293270_70949014562_696814,1,Test
7,10029965_1592382589_593999,0,Test
8,100321067_78502191718_46799,1,Test
9,100393582_40120493420_784218,0,Test
10,100412222_23957663994_946900,1,Test
11,100475449_39139591577_836652,0,Test
12,100524954_75571477869_827571,0,Test
13,100559681_42553631610_873319,1,Test
14,100626049_75683476209_342098,0,Test
15,100639462_26969211619_298031,0,Test
16,10065836_96534697180_389104,1,Test
17,100725513_11346861413_977724,0,Test
18,100738555_11362326861_913293,1,Test
19,100751264_35071231525_844320,1,Test
20,100762504_13289430422_745035,0,Test
21,100762805_65408139715_281504,0,Test
22,100786061_71646122803_371815,0,Test
23,100823576_70799027657_592457,0,Test
24,100844233_60058998075_722846,1,Test
25,100940549_99510656_854293,1,Test
26,100995466_7789612733_596938,0,Test
27,101011654_3078115058_237331,1,Test
28,101030486_64770311115_334089,1,Test
29,101093819_66558027327_682204,0,Test
30,101095789_10442518934_382326,0,Test
31,10111418_59591388284_939024,1,Test
32,101114217_62558506460_651777,0,Test
33,101131769_71477003769_557617,0,Test
34,101140215_44015987399_153386,0,Test
35,101339145_59030942252_195139,0,Test
36,101351075_24045289214_506540,1,Test
37,101353522_64535639660_69005,1,Test
38,101392314_91331340315_841624,0,Test
39,101443588_38539502180_993540,0,Test
40,101474438_42996626661_564566,0,Test
41,101494772_26515669036_129353,1,Test
42,10151340_71083463460_534483,0,Test
43,10159198_84729287535_194650,0,Test
44,10160247_7644306633_536261,1,Test
45,101648946_2986090802_45728,1,Test
46,101680890_99989873555_20306,1,Test
47,101685445_57309646367_72205,0,Test
48,101694351_48478447145_497774,0,Test
49,101699555_81180756343_194382,1,Test
50,101705911_92910589456_700339,1,Test
51,101722456_58438104811_928683,0,Test
52,101730358_52940740127_700366,1,Test
53,101750001_99499374687_400462,0,Test
54,101768700_91142432630_586450,0,Test
55,10177503_3130035561_623787,0,Test
56,101794167_4777787282_217687,0,Test
57,101795269_11014215878_581088,1,Test
58,101802638_52752999485_99956,1,Test
59,101834489_14041973684_933577,1,Test
60,101846948_96925910026_299041,1,Test
61,101881214_40147450360_975629,1,Test
62,101888000_165543841_994097,1,Test
63,10194677_47094805391_515472,0,Test
64,101964240_76921976749_632667,0,Test
65,102023307_11552556299_423138,0,Test
66,102028949_77333531405_172916,1,Test
67,102040676_43919492336_211555,1,Test
68,10208508_48498393982_276767,1,Test
69,102135578_44389748355_529451,1,Test
70,102142817_7580637917_670602,0,Test
71,102192856_36776313213_528609,1,Test
72,102196638_7300689157_648696,0,Test
73,102239627_21788120461_642410,1,Test
74,102248635_49263086114_638760,0,Test
75,102258111_12712392228_569788,0,Test
76,102260327_62370031760_695202,1,Test
77,102313083_89099432393_519923,1,Test
78,102335079_31127942488_988541,1,Test
79,102484927_98294291724_438700,1,Test
80,102499021_85930930609_946443,1,Test
81,102533008_90910706675_937858,0,Test
82,102536241_9330188050_272777,1,Test
83,102592926_95416944746_414256,0,Test
84,102676129_2928490180_116179,0,Test
85,102712882_62553151276_884405,0,Test
86,10271778_60310580255_346120,1,Test
87,102726299_88890501425_250481,1,Test
88,102736795_17468849335_437561,0,Test
89,102777033_42146116298_112667,0,Test
90,102829584_93976627605_480184,1,Test
91,102837653_94701008367_878441,1,Test
92,102846212_50902509516_776918,0,Test
93,102870081_77463689264_654344,0,Test
94,102940379_7417592296_388628,0,Test
95,102975007_58653569101_864796,1,Test
96,10297728_36443899834_420540,1,Test
97,10297943_82235334464_956711,0,Test
98,102999029_97734962870_849096,0,Test
99,10302777_33961048646_359086,1,Test
100,103067846_46368558812_483037,0,Test
101,103103875_46336298052_373337,1,Test
102,103130243_32100266511_903233,1,Test
103,103136978_65760039883_30108,0,Test
104,103153313_89180810554_652969,1,Test
105,103203733_87955828038_624161,0,Test
106,103231866_97001718341_176355,1,Test
107,103250270_91305892356_725889,1,Test
108,103280492_35048423642_295880,1,Test
109,103314992_38940221828_86119,1,Test
110,103316124_77336417516_450479,1,Test
111,103334673_42929357722_227220,1,Test
112,103338906_44331369004_437726,0,Test
113,103341679_51260451764_941791,0,Test
114,10334176_51873545023_86086,0,Test
115,103342398_45398458430_825388,1,Test
116,103351895_72450757094_488818,1,Test
117,103375343_29061810051_12489,0,Test
118,103429522_91068110681_512926,1,Test
119,103488628_49758919268_823542,0,Test
120,103538296_11904058214_819864,0,Test
121,103568196_75903429026_290469,0,Test
122,103606500_24681696328_451700,0,Test
123,103610734_70849851857_133700,0,Test
124,103615346_95330399076_836311,0,Test
125,103689029_41882753010_215591,1,Test
126,103690685_99093075856_611613,0,Test
127,103718181_78133780798_378891,1,Test
128,103797768_89024128068_105778,1,Test
129,10381309_94441024337_943455,1,Test
130,103844930_39480104147_119972,1,Test
131,103892479_63697822086_835141,0,Test
132,103925915_87560969444_561630,1,Test
133,104032435_62114953894_417370,1,Test
134,10405216_27295232690_129849,0,Test
135,104052567_51896422006_946275,1,Test
136,104082777_42499597295_944666,0,Test
137,104083710_37806604745_590166,1,Test
138,104125938_19215127985_615367,1,Test
139,104188701_32251245563_949267,0,Test
140,104192619_67296701164_160596,0,Test
141,104290818_41911217263_795489,1,Test
142,104337957_61247003448_631454,0,Test
143,104384293_44856181492_698912,1,Test
144,104400883_2375105976_218259,0,Test
145,104418267_51474889719_962654,1,Test
146,104438405_2368283624_817211,0,Test
147,104455207_26549011733_252030,0,Test
148,104475028_24299576645_951674,0,Test
149,104484209_99971291516_97120,0,Test
150,104503918_88678867372_299559,1,Test
151,104520844_52262021509_531039,0,Test
152,104573440_30922831299_26449,0,Test
153,104600854_54570236968_577535,0,Test
154,104607553_63113543212_684641,0,Test
155,104609860_39786720919_506291,0,Test
156,104626827_5217551345_835814,0,Test
157,10463399_86967089664_748023,1,Test
158,104648703_38088655862_963517,0,Test
159,104671112_72226641226_692067,1,Test
160,104683420_95145670621_124388,1,Test
161,104692670_75667241605_479940,0,Test
162,104705023_95620564777_593551,0,Test
163,104710911_72306734784_450595,1,Test
164,104759010_79418548877_133125,1,Test
165,104764150_73283869932_951741,0,Test
166,104771695_29531939894_162247,1,Test
167,104776692_31910584761_228392,0,Test
168,104805821_49529469720_441232,0,Test
169,104815984_48743056662_416310,1,Test
170,104853864_15340926053_27153,1,Test
171,10486918_82817683707_804371,1,Test
172,104904175_28577721463_608061,1,Test
173,104919806_96804405687_501195,1,Test
174,104971026_26405371271_631532,0,Test
175,104977399_88468958887_125871,1,Test
176,105052451_60790410291_962728,1,Test
177,105130144_88070617597_601122,1,Test
178,105189986_65940289745_70685,0,Test
179,105213573_6959115113_374761,1,Test
180,105297786_29621496747_670454,0,Test
181,10533296_19342141188_838522,1,Test
182,105462273_67494302373_957890,1,Test
183,105528198_88476234988_704586,1,Test
184,105559792_63874509233_764714,0,Test
185,105562619_26580127431_303548,0,Test
186,10556427_59314261366_450199,1,Test
187,10557984_74046296909_674197,0,Test
188,105638531_66120099772_582488,0,Test
189,105654856_27538576603_148503,1,Test
190,105682428_52007266588_875444,0,Test
191,105697603_42362617011_929945,1,Test
192,105699523_64156824462_799517,0,Test
193,105713435_18275303055_967670,1,Test
194,105716156_71220350745_747217,0,Test
195,105733065_54467481472_535394,1,Test
196,10579635_39481463812_262571,0,Test
197,105846899_46106521051_46180,0,Test
198,10584945_46072439356_160342,1,Test
199,105884506_98727663787_454237,1,Test
200,105885941_28403377963_508699,0,Test
201,1059370_91798102316_778136,0,Test
202,105999073_77773384891_217157,1,Test
203,106001304_58473891975_988259,1,Test
204,106006949_19302036601_135335,1,Test
205,106052429_14824196356_905818,1,Test
206,106063612_44887943452_881713,1,Test
207,106159737_63034228854_430947,0,Test
208,106166026_65762982131_718523,0,Test
209,106169276_92801217913_772633,0,Test
210,106185096_47057462651_445214,0,Test
211,106209844_29458873765_979034,0,Test
212,106220538_39932157904_500054,0,Test
213,106238467_17042749881_660710,0,Test
214,106264914_49585476195_879523,1,Test
215,106292075_94878957222_708923,1,Test
216,106379446_67121530348_419079,0,Test
217,106392375_63078373438_245579,0,Test
218,106405017_42183028634_631400,0,Test
219,106539194_44506273146_830318,1,Test
220,10654808_96674023203_858549,0,Test
221,106562908_15410746460_945284,1,Test
222,106616352_49336215172_500698,1,Test
223,106655969_13360877421_676015,0,Test
224,10666445_47648151759_429171,1,Test
225,106710338_71972000759_983488,0,Test
226,106726400_1469041131_435314,1,Test
227,10676122_67167455707_769155,1,Test
228,106770051_83279918981_813844,1,Test
229,106783340_67160939993_400118,0,Test
230,106792523_73817709529_506584,0,Test
231,106922750_68558794930_556119,0,Test
232,106979248_15640946710_142957,1,Test
233,107057773_80466562830_732923,1,Test
234,107090185_43642799759_974372,1,Test
235,107155014_47962012202_430208,1,Test
236,107164308_54379907577_931356,0,Test
237,107180563_67256983369_744022,1,Test
238,10723739_49503519120_612119,1,Test
239,107237727_91762311046_263033,0,Test
240,107248528_50766485563_829656,1,Test
241,107274022_89936223710_343741,1,Test
242,107290136_69024949502_534009,1,Test
243,107318503_1037435306_176414,0,Test
244,107325144_83643998565_768712,0,Test
245,107388830_92934484836_986365,1,Test
246,107405670_56974328889_420437,0,Test
247,107406868_34571948150_269115,1,Test
248,107419964_89811129887_112985,1,Test
249,107444312_10965878893_819438,1,Test
250,107446590_29397725040_254521,1,Test
251,107457055_14540444760_25794,0,Test
252,107477768_37839328958_783322,1,Test
253,107556911_7964194388_96072,1,Test
254,107570996_6061083640_760687,1,Test
255,10757566_74040962696_428304,1,Test
256,107601062_62932731109_515928,1,Test
257,107609865_47324646473_565861,0,Test
258,107629066_90159587156_918030,1,Test
259,107698779_43951260673_801523,1,Test
260,107725310_23422533180_657653,0,Test
261,107752283_21558128430_578425,0,Test
262,10775349_62698260521_997049,1,Test
263,107761855_65378484307_236886,0,Test
264,107800737_87824524171_447246,1,Test
265,107819680_28577379079_882368,1,Test
266,107849716_36425670871_483114,0,Test
267,107879944_62966384337_222412,1,Test
268,107896371_21906879108_880611,1,Test
269,107897910_17884108306_474303,1,Test
270,107914021_23456028454_698003,1,Test
271,107945468_79277378565_37459,1,Test
272,10797640_29557170324_46572,1,Test
273,108004465_24063953746_623468,1,Test
274,10800599_86421211501_815670,0,Test
275,108038410_83015245261_805527,0,Test
276,108042096_17697087210_359841,0,Test
277,108199947_15133807069_789216,0,Test
